slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
category,2026 Winter Games,p_final,139,0.2733812949640288,0.28537015904718244,0.003416694259292487,0.01588568029781875,0.013026143597868894
category,2026 Winter Games,p_6h,138,0.2753623188405797,0.2869591914085968,0.0034130742553845485,0.015660234276147603,0.01279487771068573
category,2026 Winter Games,p_24h,130,0.2923076923076923,0.3047988624538607,0.012801345391798776,0.04804856604338793,0.017947288586138463
category,AAPL,p_final,72,0.4444444444444444,0.43145625698837814,0.01387550730704065,0.05012900743055024,0.037015337588638134
category,AAPL,p_6h,65,0.4307692307692308,0.43563246634625297,0.04914410003522442,0.15382631325841803,0.07215259267040229
category,AAPL,p_24h,55,0.4,0.3764848094041742,0.06851092693328394,0.2119998069082223,0.08266670574734077
category,AMZN,p_final,70,0.4857142857142857,0.46882875534160096,0.005979890943869823,0.03467452405197765,0.030988224595229052
category,AMZN,p_6h,67,0.47761194029850745,0.4496250283791752,0.01381095242757319,0.06268678822988401,0.053713426664654375
category,AMZN,p_24h,62,0.45161290322580644,0.42710070082717067,0.018022087414047743,0.07523511549578654,0.06244724176308223
category,Basketball,p_final,206,0.4320388349514563,0.38385108207398444,0.1341209890517418,0.39178636168500935,0.07947937566833088
category,Basketball,p_6h,156,0.358974358974359,0.34343248703119966,0.1014163444865217,0.3057588415541847,0.05627824665105576
category,Basketball,p_24h,121,0.2975206611570248,0.29490396564985133,0.07307713475998749,0.23358884039931244,0.04456678065632672
category,Basketball,p_168h,93,0.22580645161290322,0.2621062004517559,0.042379201063042084,0.15132038488594776,0.059805126003180185
category,Bitcoin,p_final,668,0.4026946107784431,0.40330702191322215,0.005013974295308372,0.018950185634720014,0.010115473615937235
category,Bitcoin,p_6h,447,0.33109619686800895,0.3433606137698214,0.025165772596402444,0.07929427019038075,0.02861035312471044
category,Bitcoin,p_24h,434,0.3317972350230415,0.34415695543276265,0.034383430397739057,0.11724804225773629,0.031118081065821653
category,CWBB,p_final,63,0.0,0.015166719241916716,0.007345449520720836,0.02205559084255149,0.015166719241916714
category,CWBB,p_6h,63,0.0,0.014660968705321416,0.0065755229275991115,0.02044490323006164,0.014660968705321414
category,CWBB,p_24h,63,0.0,0.01339417090359811,0.00535126758715507,0.017743661427226685,0.013394170903598108
category,CWBB,p_168h,63,0.0,0.013984126987653516,0.007065253968451449,0.02071193539906612,0.013984126987653514
category,Crypto,p_final,928,0.18642241379310345,0.17654263402372947,0.008135974631323605,0.03235647253037357,0.01327502071565323
category,Crypto,p_6h,906,0.18653421633554085,0.16117333281028445,0.034207364898164366,0.12006208891530325,0.025360883525256377
category,Crypto,p_24h,278,0.18705035971223022,0.17413237433689202,0.025746458164594165,0.09512029419600801,0.015648694844306463
category,Crypto,p_168h,135,0.14074074074074075,0.13122186464380323,0.014326776892642699,0.06152851154737562,0.02008184382695532
category,Crypto Prices,p_final,33,0.24242424242424243,0.23759513797999438,0.014563111427213535,0.05215969089598554,0.016686037773926903
category,Crypto Prices,p_6h,31,0.25806451612903225,0.24821747046466028,0.04073348389227459,0.13334293379274548,0.09318521240014412
category,Culture,p_final,693,0.16594516594516595,0.17427870201854279,0.022593652587278874,0.07486501389046249,0.016220620596960316
category,Culture,p_6h,680,0.16323529411764706,0.1672593379092424,0.03484350345956323,0.11384997713122746,0.010456662641420433
category,Culture,p_24h,649,0.15716486902927582,0.16023648021538855,0.040832127225397544,0.13041666792402096,0.021328021812388895
category,Culture,p_168h,353,0.1048158640226629,0.11319563718864284,0.02994362002306016,0.11188216669318099,0.019657188197215292
category,Daily Temperature,p_final,438,0.03424657534246575,0.0625327312923986,0.015309365375359566,0.05690281137096355,0.03056211686858891
category,Daily Temperature,p_6h,438,0.03424657534246575,0.07180662998267151,0.03632524131056608,0.12026299534846262,0.037560054640205766
category,Daily Temperature,p_24h,373,0.029490616621983913,0.07831879398693055,0.02814144750081783,0.10806673658678616,0.049825495789075115
category,Dota 2,p_final,105,0.3333333333333333,0.3289616566263896,0.009559280504210354,0.04024975158555233,0.031894308834662044
category,Dota 2,p_6h,37,0.3783783783783784,0.3239525773554252,0.07996712144307876,0.27034820528259323,0.18115761237794567
category,Economy,p_final,53,0.22641509433962265,0.2036152631155526,0.07189783984057731,0.24051822145352583,0.08294449934286686
category,Economy,p_6h,52,0.23076923076923078,0.20330263446558217,0.06534067395321035,0.2137237712858963,0.07808265779641027
category,Economy,p_24h,49,0.22448979591836735,0.22217378472041582,0.05040921055687594,0.15074530913002795,0.08365746913046096
category,Economy,p_168h,34,0.2647058823529412,0.23854135419113853,0.06559942627518797,0.23290593075796173,0.08557629286768499
category,Elections,p_final,58,0.1206896551724138,0.1293117392857135,0.040807546791771926,0.12829676531419582,0.04228817117900381
category,Elections,p_6h,58,0.1206896551724138,0.128828978620129,0.04105988999183299,0.12888808217830566,0.04249506987256314
category,Elections,p_24h,58,0.1206896551724138,0.1300031485729996,0.04034625074916933,0.13100899454241452,0.054005098154074185
category,Elections,p_168h,53,0.1320754716981132,0.14044964418895547,0.043876839172433436,0.14190490256869012,0.06381049717856827
category,Elon Musk,p_final,55,0.01818181818181818,0.019678494247013085,5.4874529085457e-06,0.0015357976156248024,0.0015330397015585492
category,Elon Musk,p_6h,55,0.01818181818181818,0.01966031242883126,5.432907454000246e-06,0.0015175884822231746,0.0015148578833767312
category,Elon Musk,p_24h,55,0.01818181818181818,0.020023948792467626,9.541998363091163e-06,0.0018832938078217393,0.0018784942470130952
category,Elon Musk,p_168h,55,0.01818181818181818,0.0197501332441938,5.8831649465713825e-06,0.001607635035976022,0.0016046786987392696
category,Equities,p_final,44,0.38636363636363635,0.3775740166602128,0.009886330110898602,0.038250865246268494,0.029937653023849074
category,Equities,p_6h,43,0.37209302325581395,0.40966810925012104,0.024514659303186085,0.08894942014885641,0.07083094061656386
category,Equities,p_24h,40,0.35,0.38967039245801854,0.06916139688373077,0.21897765926873364,0.09862039245801853
category,Esports,p_final,8763,0.5113545589410019,0.510690074073335,0.02301414116977856,0.08231065882644803,0.011045932310775169
category,Esports,p_6h,3751,0.5331911490269261,0.5309077497141692,0.20925902128719845,0.6098816517449647,0.02107782036894748
category,Esports,p_24h,918,0.5544662309368191,0.534779012581039,0.1977099443896423,0.5868407116149111,0.05516543303286353
category,Esports,p_168h,77,0.5194805194805194,0.45726729130554944,0.11655159056182271,0.36906117148938666,0.13566152359943878
category,Ethereum,p_final,782,0.3695652173913043,0.3680908072095587,0.004345853748698672,0.019532507792097822,0.004670703846949066
category,Ethereum,p_6h,543,0.27071823204419887,0.272692604030989,0.023396038008248726,0.0811582507314163,0.01599736907093008
category,Ethereum,p_24h,526,0.27566539923954375,0.2801156505020599,0.03879079130642846,0.12294744939379634,0.020867001698521154
category,Finance,p_final,216,0.38425925925925924,0.3653961116109797,0.024706312796106793,0.0810969148080421,0.02650262647512066
category,Finance,p_6h,212,0.3915094339622642,0.38867941052410315,0.03610917465230858,0.11849247778603925,0.027073112615164336
category,Finance,p_24h,195,0.4205128205128205,0.41923853696700014,0.03765401064485253,0.12202568355696067,0.026367839362830846
category,Finance,p_168h,83,0.46987951807228917,0.461233926167721,0.018117753353056414,0.0712807082807425,0.046446175102377515
category,Formula 1,p_final,103,0.14563106796116504,0.14087759781324874,0.010802780009207261,0.03644443084172597,0.01768038641202751
category,Formula 1,p_6h,103,0.14563106796116504,0.14087759781324874,0.010802780009207261,0.03644443084172597,0.01768038641202751
category,Formula 1,p_24h,103,0.14563106796116504,0.14087759781324874,0.010802780009207261,0.03644443084172597,0.01768038641202751
category,Formula 1,p_168h,97,0.14432989690721648,0.1327572005878589,0.05340411598604218,0.16059191587308552,0.0470526869563264
category,GOOGL,p_final,85,0.4,0.40052462057315613,0.027941939910230883,0.09254763678084328,0.04676949650361346
category,GOOGL,p_6h,69,0.42028985507246375,0.42982127252031965,0.01989664786144022,0.08730057461956355,0.06046858683201887
category,GOOGL,p_24h,55,0.38181818181818183,0.4115136429629049,0.04008701913738074,0.13659964332254732,0.06431740376596466
category,Games,p_final,808,0.48886138613861385,0.43758950394149976,0.09025977760667413,0.2902166901362529,0.054653827863332956
category,Games,p_6h,473,0.5010570824524313,0.4681017152983255,0.16991183517307945,0.4985338435810143,0.06408597314466817
category,Games,p_24h,225,0.5377777777777778,0.47179622269274835,0.12504677553418217,0.3801487145723457,0.08211432907008084
category,Games,p_168h,75,0.6133333333333333,0.5393689376732096,0.19390585247255077,0.5762272866867099,0.13924836228400717
category,Geopolitics,p_final,134,0.3358208955223881,0.336195113062508,0.011604687996343618,0.04486294817706453,0.010073543265253261
category,Geopolitics,p_6h,134,0.3358208955223881,0.3351916465033866,0.011927192553726144,0.048532124303780184,0.010713947719426025
category,Geopolitics,p_24h,133,0.3383458646616541,0.34262383881610997,0.012676713239630965,0.05583936101418563,0.01362106434686908
category,Geopolitics,p_168h,117,0.358974358974359,0.3589398194856557,0.01816810730010743,0.085502522813709,0.049808072305643665
category,Hide From New,p_final,597,0.05527638190954774,0.07869670358371804,0.017893451544239467,0.06087558782646641,0.025405866135462522
category,Hide From New,p_6h,577,0.05025996533795494,0.08562367511755181,0.029179973621272847,0.09971542762718369,0.03536370977959687
category,Hide From New,p_24h,490,0.05714285714285714,0.09216227390149447,0.02998700619394023,0.11194827335999821,0.037191881966875534
category,Hide From New,p_168h,41,0.2682926829268293,0.2353023487109422,0.08087646110878188,0.25573026949903677,0.09884399394192862
category,Hockey,p_final,44,0.3409090909090909,0.3315596255506437,0.0027531849850915575,0.01880663892844401,0.017131818288796802
category,Hockey,p_6h,43,0.32558139534883723,0.32299124486450165,0.0007241892180669539,0.010949236322050287,0.010553488366553725
category,Hockey,p_24h,43,0.32558139534883723,0.32299124486450165,0.0007241892180669539,0.010949236322050287,0.010553488366553725
category,Hockey,p_168h,43,0.32558139534883723,0.3205755181107016,0.008943424713242238,0.053259160902324715,0.047807379885702966
category,Iran,p_final,114,0.2631578947368421,0.27630511694630516,0.01839149239455553,0.06446298401500676,0.027129678718689397
category,Iran,p_6h,114,0.2631578947368421,0.27943261927500695,0.021243416051468882,0.07132587094840362,0.023064198591250806
