horizon,longshot_bin,n,mean_longshot_prob,observed_longshot_win,mean_favorite_prob,observed_favorite_win,longshot_bias,favorite_bias,relative_longshot_overpricing
final,0-1%,23598,0.001565617103767204,0.0009746588693957114,0.9984343828962329,0.9990253411306043,0.0005909582343714926,-0.000590958234371386,1.6063231484651515
final,1-2%,3619,0.011549728749405403,0.0033158331030671458,0.9884502712505946,0.9966841668969328,0.008233895646338257,-0.008233895646338252,3.4832056953415127
final,2-5%,2152,0.02898073831372158,0.02137546468401487,0.9710192616862785,0.9786245353159851,0.00760527362970671,-0.007605273629706644,1.3557945402419314
final,5-10%,1798,0.07335511193486005,0.067853170189099,0.9266448880651399,0.932146829810901,0.0055019417457610464,-0.00550194174576113,1.0810859939252324
final,10-20%,2151,0.15478547003540882,0.11668991166899116,0.8452145299645912,0.8833100883310089,0.03809555836641766,-0.03809555836641765,1.326468310940894
final,20-40%,4664,0.30544051709546105,0.27144082332761577,0.6945594829045388,0.7285591766723842,0.033999693767845285,-0.033999693767845396,1.1252563757766434
final,40-50%,6824,0.4539801686506856,0.4465123094958968,0.5460198313493144,0.5534876905041032,0.0074678591547887585,-0.0074678591547887585,1.0167248673686506
24h,0-1%,11483,0.0020394927780062726,0.00026125576939824087,0.9979605072219937,0.9997387442306017,0.0017782370086080318,-0.001778237008608019,7.80649852328201
24h,1-2%,2520,0.011984969889195762,0.004761904761904762,0.9880150301108042,0.9952380952380953,0.007223065127291,-0.007223065127291095,2.51684367673111
24h,2-5%,2087,0.029836643321595954,0.017249640632486823,0.970163356678404,0.9827503593675132,0.01258700268910913,-0.012587002689109172,1.7296965170047431
24h,5-10%,1860,0.07314409296377818,0.056451612903225805,0.9268559070362218,0.9435483870967742,0.01669248006055237,-0.01669248006055246,1.295695361072642
24h,10-20%,1905,0.15347722484059476,0.10183727034120735,0.8465227751594052,0.8981627296587926,0.05163995449938741,-0.05163995449938741,1.5070830583573867
24h,20-40%,3211,0.2979386590935662,0.23263780753659297,0.7020613409064339,0.7673621924634071,0.06530085155697324,-0.06530085155697318,1.2806975024758247
24h,40-50%,1834,0.4492133844991339,0.4193020719738277,0.5507866155008662,0.5806979280261723,0.02991131252530621,-0.0299113125253061,1.0713359521084675
168h,0-1%,2580,0.002114762244165566,0.0007751937984496124,0.9978852377558345,0.9992248062015504,0.0013395684457159535,-0.0013395684457159218,2.7280432949735802
168h,1-2%,548,0.01197960842700742,0.0036496350364963502,0.9880203915729926,0.9963503649635036,0.008329973390511069,-0.008329973390511003,3.2824127090000332
168h,2-5%,480,0.029689080410735057,0.027083333333333334,0.970310919589265,0.9729166666666667,0.0026057470774017225,-0.0026057470774016878,1.0962121997809866
168h,5-10%,426,0.074601277257741,0.09624413145539906,0.925398722742259,0.903755868544601,-0.02164285419765806,0.02164285419765799,0.7751254661414065
168h,10-20%,520,0.15097357826217803,0.1326923076923077,0.849026421737822,0.8673076923076923,0.018281270569870334,-0.01828127056987039,1.1377718941497474
168h,20-40%,983,0.30773105276394197,0.2970498474059003,0.692268947236058,0.7029501525940997,0.010681205358041679,-0.010681205358041623,1.03595761940738
168h,40-50%,796,0.4466960104666612,0.4535175879396985,0.5533039895333388,0.5464824120603015,-0.006821577473037299,0.006821577473037355,0.9849585161536352
