horizon,band,category,n,mean_longshot_prob,observed_longshot_win,longshot_bias,relative_longshot_overpricing
final,1-10%,Esports,1844,0.027063967998668177,0.021691973969631236,0.005371994029036941,1.247648924738603
final,1-10%,Sports,1432,0.04265693219746457,0.051675977653631286,-0.009019045456166719,0.8254692825239089
final,1-10%,Weather,987,0.03143042460394518,0.008105369807497468,0.02332505479644771,3.877728635511736
final,1-10%,Tennis,630,0.024478838099434286,0.01904761904761905,0.005431219051815237,1.2851390002203
final,1-10%,Politics,162,0.03531238587182605,0.043209876543209874,-0.007897490671383824,0.8172295016051172
final,1-10%,Games,149,0.033211189907175295,0.053691275167785234,-0.02048008526060994,0.6185584120211399
final,1-10%,Ethereum,145,0.017220774737851444,0.013793103448275862,0.0034276712895755825,1.2485061684942298
final,1-10%,Crypto,130,0.022261431871403413,0.007692307692307693,0.01456912417909572,2.8939861432824436
final,1-10%,Bitcoin,108,0.02107848673453701,0.0,0.02107848673453701,
final,1-10%,Hide From New,106,0.032954842810794076,0.009433962264150943,0.023520880546643134,3.493213337944172
final,1-10%,Culture,101,0.03267624266596053,0.019801980198019802,0.012874262467940729,1.6501502546310067
24h,1-10%,Weather,2088,0.03496885960840314,0.010057471264367816,0.02491138834403532,3.476903755349798
24h,1-10%,Sports,907,0.041536498440921485,0.04961411245865491,-0.008077614017733423,0.8371912019092397
24h,1-10%,Tennis,630,0.024478838099434286,0.01904761904761905,0.005431219051815237,1.2851390002203
24h,1-10%,Politics,155,0.03580122801393057,0.01935483870967742,0.01644638930425315,1.8497301140530793
24h,1-10%,Hide From New,146,0.03830999142007035,0.0136986301369863,0.024611361283084048,2.7966293736651355
24h,1-10%,XRP,139,0.032360338107827076,0.014388489208633094,0.017971848899193982,2.2490434984939816
24h,1-10%,Ethereum,134,0.03205091157985244,0.029850746268656716,0.0022001653111957224,1.0737055379250566
24h,1-10%,Daily Temperature,134,0.03581573468311468,0.0,0.03581573468311468,
24h,1-10%,Recurring,131,0.03429574448957175,0.0,0.03429574448957175,
24h,1-10%,Culture,124,0.042806905664634874,0.016129032258064516,0.02667787340657036,2.6540281512073625
24h,1-10%,Bitcoin,121,0.03525423423014157,0.008264462809917356,0.026989771420224212,4.26576234184713
24h,1-10%,Esports,112,0.07168484618282732,0.20535714285714285,-0.13367229667431552,0.34907403358594175
