ladder_key,event_slug,category,n_thresholds,atm_threshold_final,atm_brier_final,curve_brier_final,abs_mean_proxy_error_final,monotonicity_violation_rate_final,adjacent_arbitrage_gross_edge_final,max_adjacent_arbitrage_edge_final
lol-g2-fox1-2026-03-20::total kills over/under {threshold} in game 3?,lol-g2-fox1-2026-03-20,Esports,5,41.5,0.0007289999999999999,0.0001596702783385123,0.026677277345072525,0.25,0.026,0.026
dota2-re-bb4-2026-04-13::total kills over/under {threshold} in game 2?,dota2-re-bb4-2026-04-13,Esports,5,50.5,0.0007319419711689523,0.0001669883942337905,0.13421770436811187,0.25,0.026054426092027017,0.026054426092027017
dota2-pr1-yes-2026-03-16::total kills over/under {threshold} in game 1?,dota2-pr1-yes-2026-03-16,Esports,5,52.5,0.0008603662240000001,0.0003447464896,0.2659880000000001,0.25,0.028332,0.028332
lol-t1-fox1-2026-02-15::total kills over/under {threshold} in game 3?,lol-t1-fox1-2026-02-15,Esports,10,32.5,0.0009,0.0001905040183263659,0.10446068978053091,0.1111111111111111,0.037632911392404995,0.028999999999999998
lol-los-fur-2026-02-21::total kills over/under {threshold} in game 2?,lol-los-fur-2026-02-21,Esports,4,30.5,0.0009,0.00025125000000000006,0.030999999999998806,0.3333333333333333,0.028999999999999998,0.028999999999999998
lol-jdg-tes-2026-02-24::total kills over/under {threshold} in game 2?,lol-jdg-tes-2026-02-24,Games,5,37.5,0.0025000000000000005,0.0006188384177693128,0.31540906411701997,0.25,0.0515303119609933,0.0374015715295389
dota2-mouz-tundra-2026-02-21::total kills over/under {threshold} in game 1?,dota2-mouz-tundra-2026-02-21,Games,6,53.5,0.0025000000000000005,0.0008835000000000003,0.1039999999999992,0.2,0.049,0.049
dota2-liquid-flc-2026-02-23::total kills over/under {threshold} in game 2?,dota2-liquid-flc-2026-02-23,Esports,4,58.5,0.0025000000000000005,0.0007194444444444442,0.3500000000000014,0.3333333333333333,0.0366666666666667,0.0366666666666667
dota2-aur1-flc-2026-02-22::total kills over/under {threshold} in game 1?,dota2-aur1-flc-2026-02-22,Dota 2,8,50.5,0.0025000000000000044,0.00036287500000000057,0.4759999999999991,0.14285714285714285,0.058000000000000045,0.049000000000000044
j1100-vis-ssp-2026-04-19-more-markets::vissel kōbe vs. shimizu s-pulse: o/u {threshold},j1100-vis-ssp-2026-04-19-more-markets,Sports,3,4.5,0.002727238104692052,0.0012188104626059664,0.025972217051492663,0.5,0.0322097579442035,0.0322097579442035
lol-fox1-tsw-2026-03-18::total kills over/under {threshold} in game 3?,lol-fox1-tsw-2026-03-18,Esports,7,44.5,0.004899999999999985,0.002689425207154644,0.270649632481625,0.16666666666666666,0.0689999999999999,0.052649632481624
lol-tl2-fly-2026-04-05::total kills over/under {threshold} in game 1?,lol-tl2-fly-2026-04-05,Esports,4,24.5,0.005624999999999994,0.0014317499999999986,0.09499999999999886,0.3333333333333333,0.07399999999999995,0.07399999999999995
